"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"['oscar (best supporting actor)', 'surprise ending', 'plot twist', 'twists & turns', 'twist ending', 'great ending', 'imdb top 250', 'excellent script', 'great acting', 'crime']",4.334372207803259,74,217,72,561,348,3629,2427,13004,6760,19914
Mighty Aphrodite (1995),Comedy|Drama|Romance,"['adoption', 'oscar (best supporting actress)', 'oscar (best actress)', 'oscar (best actor)', 'oscar', 'great acting', 'original', 'pornography', 'prostitution', 'new york']",3.541148068669528,28,265,29,525,164,3061,464,3425,162,1197
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"['beautifully filmed', 'beautiful scenery', 'melancholic', 'love story', 'scenic', 'poetry', 'oscar (best supporting actress)', 'romantic', 'touching', 'cinematography']",3.978396397956533,63,185,58,390,172,1990,540,3889,586,3676
Mr. Holland's Opus (1995),Drama,"['music', 'mentor', 'teacher', 'musicians', 'classical music', 'sentimental', 'inspirational', 'feel-good', 'high school', 'inspiring']",3.7318249832309993,59,432,100,921,402,5206,1133,6086,539,4503
From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"['splatter', 'vampires', 'vampire', 'bloody', 'cult classic', 'violence', 'gratuitous violence', 'violent', 'horror', 'gory']",3.2774543738200124,126,735,174,1395,603,3220,1400,3254,589,1216
Broken Arrow (1996),Action|Adventure|Thriller,"['action', 'action packed', 'good action', 'explosions', 'chase', 'big budget', 'gunfight', 'weapons', 'military', 'vengeance']",3.0946435034382915,163,1069,375,2686,1058,9357,1106,4643,150,1497
Happy Gilmore (1996),Comedy,"['golf', 'comedy', 'goofy', 'sports', 'hilarious', 'funniest movies', 'funny', 'saturday night live', 'very funny', 'dumb']",3.4170806586659226,195,814,244,1361,813,4658,1930,4630,828,2442
"Bridges of Madison County, The (1995)",Drama|Romance,"['love story', 'bittersweet', 'romance', 'romantic', 'adultery', 'passionate', 'sentimental', 'chick flick', 'emotional', 'love']",3.326299376299376,178,539,128,916,339,2829,514,2525,293,1359
Braveheart (1995),Action|Drama|War,"['historical', 'oscar (best picture)', 'history', 'oscar (best directing)', 'courage', 'epic', 'oscar (best cinematography)', 'us history', 'imdb top 250', 'scotland']",4.042533802004873,232,806,293,1726,1029,7492,3801,15582,4341,18467
Taxi Driver (1976),Crime|Drama|Thriller,"['loneliness', 'masterpiece', 'golden palm', 'imdb top 250', 'violent', 'character study', 'insanity', 'social commentary', 'new york', 'dark']",4.110575548384461,62,211,75,523,290,3110,1681,8092,2522,7915
Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,"['martial arts', 'fight scenes', 'kung fu', 'hong kong', 'action', 'good action', 'fighting', 'gangs', 'original', 'action packed']",3.412573591253154,53,366,86,889,345,4312,747,3514,166,1412
"Birdcage, The (1996)",Comedy,"['cross dressing', 'gay', 'gay character', 'homosexuality', 'queer', 'comedy', 'homophobia', 'stereotypes', 'farce', 'original']",3.5122161671207994,92,675,140,1461,560,7112,1386,6793,556,3245
Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,"['good action', 'action', 'action packed', 'buddy movie', 'comedy', 'car chase', 'chase', 'fast paced', 'police', 'explosions']",3.2507724425887266,153,421,231,1039,737,3800,1387,2936,380,891
Apollo 13 (1995),Adventure|Drama|IMAX,"['space program', 'astronauts', 'nasa', 'space', 'space travel', 'true story', 'tense', 'drama', 'dramatic', 'based on true story']",3.86859786089541,109,350,192,1278,1020,10123,4025,17516,2618,10546
Rob Roy (1995),Action|Drama|Romance|War,"['scotland', 'sword fight', '18th century', 'sword fighting', 'historical', 'period piece', 'courage', 'passionate', 'beautiful scenery', 'betrayal']",3.539037729866836,60,311,78,736,318,4060,748,4262,275,1768
Batman Forever (1995),Action|Adventure|Comedy|Crime,"['batman', 'super-hero', 'franchise', 'vigilante', 'super hero', 'superhero', 'alter ego', 'action', 'comic book', 'superheroes']",2.894727234003712,460,2184,754,4912,1807,14381,1499,5385,200,1285
Casper (1995),Adventure|Children,"['ghosts', 'children', 'childhood', 'family', 'kids', 'cute', 'cute!', 'kids and family', 'supernatural', 'special effects']",2.932,322,715,438,1595,956,4828,814,2135,159,663
Congo (1995),Action|Adventure|Mystery|Sci-Fi,"['jungle', 'based on a book', 'adventure', 'adapted from:book', 'special effects', 'big budget', 'africa', 'action', ""so bad it's funny"", 'books']",2.6047444036084197,233,2163,342,3074,688,5872,364,1690,51,488
Crimson Tide (1995),Drama|Thriller|War,"['tense', 'tom clancy', 'submarine', 'weapons', 'nuclear', 'nuclear war', 'claustrophobic', 'cold war', 'forceful', 'thriller']",3.744201794481124,25,209,51,661,273,7238,1166,9408,493,4104
Desperado (1995),Action|Romance|Western,"['action', 'stylish', 'violence', 'gunfight', 'good action', 'violent', 'vengeance', 'bloody', 'cool', 'revenge']",3.445394874659591,72,411,140,1050,547,4244,1548,4135,686,1488
Die Hard: With a Vengeance (1995),Action|Crime|Thriller,"['action', 'action packed', 'vengeance', 'lone hero', 'good action', 'chase', 'explosions', 'good sequel', 'sequel', 'new york city']",3.4890247495580438,133,666,172,2045,860,12005,2823,10320,1137,3779
First Knight (1995),Action|Drama|Romance,"['medieval', 'love story', 'king arthur', 'romance', 'chick flick', 'betrayal', 'romantic', 'beautiful scenery', 'big budget', 'adventure']",3.084698775239987,234,818,290,1467,640,4069,667,2581,168,1150
Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,"['cyberpunk', 'dystopic future', 'future', 'futuristic', 'sci-fi', 'virtual reality', 'dystopia', 'technology', 'scifi', 'sci fi']",2.7326066425310875,234,1389,387,2260,796,4569,769,1703,163,436
Judge Dredd (1995),Action|Crime|Sci-Fi,"['dystopic future', 'based on a comic', 'adapted from:comic', 'futuristic', 'future', 'sci-fi', 'dystopia', 'super hero', 'comic book', 'action']",2.5382845327819648,497,1986,608,3070,948,5279,553,1602,61,389
"Net, The (1995)",Action|Crime|Thriller,"['internet', 'hacking', 'conspiracy', 'technology', 'hackers', 'computers', 'chase', 'identity', 'espionage', 'virus']",3.1104273295962304,213,1081,422,2874,1132,10755,1120,5029,174,1818
Nine Months (1995),Comedy|Romance,"['comedy', 'romantic comedy', 'chick flick', 'pregnancy', 'funny', 'arnold', 'very funny', 'happy ending', 'original', 'family']",2.891730529317412,243,724,323,1574,703,4670,558,1829,107,491
Species (1995),Horror|Sci-Fi,"['alien', 'aliens', 'sci-fi', 'alien invasion', 'first contact', 'scifi', 'science fiction', 'sci fi', 'space', 'special effects']",2.8502714998532435,224,1020,335,2231,843,5507,703,2127,80,558
Waterworld (1995),Action|Adventure|Sci-Fi,"['futuristic', 'post-apocalyptic', 'post apocalyptic', 'sci-fi', 'big budget', 'dystopia', 'future', 'action', 'natural disaster', 'dark hero']",2.8520972097209722,576,2437,775,3996,1522,10825,1639,4537,334,1134
Clerks (1994),Comedy,"['view askew', 'jay and silent bob', 'independent film', 'dialogue driven', 'slackers', 'new jersey', 'dialogue', 'comedy', 'workplace', 'low budget']",3.8695505380882045,113,537,140,979,486,3937,1965,7685,1962,5891
Disclosure (1994),Drama|Thriller,"['based on a book', 'sexual', 'conspiracy', 'erotic', 'sexy', 'tense', 'lawyer', 'thriller', 'manipulation', 'mentor']",3.2883035855315117,27,394,95,977,283,5943,355,3556,61,971
Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,"['suprisingly clever', 'dumb', 'funniest movies', 'comedy', 'goofy', 'dumb but funny', 'stupidity', 'hilarious', 'stupid as hell', 'road trip']",2.9524700015583605,876,3702,695,4026,1508,9396,2465,5647,1056,2714
Ed Wood (1994),Comedy|Drama,"['oscar (best supporting actor)', 'biopic', 'eccentricity', 'imdb top 250', 'affectionate', 'biographical', 'depp & burton', 'biography', 'black and white', 'original']",3.6636518667397526,64,428,69,928,306,4205,1066,5677,930,2746
French Kiss (1995),Action|Comedy|Romance,"['romantic comedy', 'romantic', 'france', 'love story', 'good romantic comedies', 'romance', 'love', 'paris', 'chick flick', 'sweet']",3.3153499795333605,89,331,121,902,426,5191,627,3238,197,1093
Hoop Dreams (1994),Documentary,"['oscar (best editing)', 'sports', 'documentary', 'criterion', 'social commentary', 'poverty', 'dreams', 'basketball', 'high school', 'original']",4.042896855828221,42,179,29,296,83,1774,379,3535,462,3653
I.Q. (1994),Comedy|Romance,"['romantic comedy', 'romantic', 'chick flick', 'love story', 'sweet', 'romance', 'good romantic comedies', 'feel-good', 'cute!', 'fun movie']",3.2227020051618025,52,300,90,920,310,4723,458,2435,105,681
Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,"['vampires', 'vampire', 'immortality', 'adapted from:book', 'goth', 'book was better', 'based on a book', 'original', 'new orleans', 'book']",3.4966446604759143,97,740,140,1868,614,9179,2148,8190,1298,3294
Junior (1994),Comedy|Sci-Fi,"['arnold', 'comedy', 'pregnancy', 'silly', 'silly fun', 'funny', 'light', 'original', 'bad plot', 'dumb but funny']",2.7282103134479274,339,843,365,1565,632,4043,354,1381,40,328
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,"['space opera', 'scifi', 'sci fi', 'trilogy', 'good versus evil', 'science fiction', 'imdb top 250', 'mythology', 'space', 'star wars']",4.190671901948552,346,649,217,1239,686,5793,2960,14984,5511,22117
Little Women (1994),Drama,"['adapted from:book', 'family bonds', 'girlie movie', 'literature', 'costume drama', 'based on a book', 'period piece', 'excellent', 'adaptation', 'story']",3.628918684286679,94,243,69,440,241,3044,613,3475,345,1803
Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,"['magic realism', 'passionate', 'cooking', 'love story', 'bittersweet', 'romantic', 'beautifully filmed', 'literature', 'love', 'intimate']",3.9272651356993737,32,222,27,481,116,2471,384,4277,383,3582
Legends of the Fall (1994),Drama|Romance|War|Western,"['oscar (best cinematography)', 'love story', 'epic', 'family bonds', 'amazing cinematography', 'beautiful scenery', 'cinematography', 'war', 'bittersweet', 'emotional']",3.496258734772123,97,604,120,1268,400,5061,852,4621,439,2709
Nell (1994),Drama,"['drama', 'touching', 'doctors', 'emotional', 'solitude', 'original', 'good', 'great', 'tear jerker', 'story']",3.420970752955818,92,353,113,816,345,3989,595,3275,170,1501
Natural Born Killers (1994),Action|Crime|Thriller,"['violence', 'violent', 'gratuitous violence', 'brutality', 'serial killer', 'controversial', 'good soundtrack', 'bloody', 'satire', 'stylized']",3.230347310461669,241,2484,186,2335,613,6657,1470,5570,967,3087
Outbreak (1995),Action|Drama|Sci-Fi|Thriller,"['virus', 'military', 'good', 'tense', 'thriller', 'natural disaster', 'chase', 'conspiracy', 'action', 'big budget']",3.414367903680561,69,448,193,1730,846,10591,1684,7664,323,2698
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,"['hit men', 'assassin', 'hitman', 'father daughter relationship', 'action', 'great acting', 'imdb top 250', 'assassins', 'assassination', 'drama']",4.050573554487676,30,230,43,589,236,3820,1777,8771,3720,6588
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,"['hit men', 'gratuitous violence', 'dark humor', 'masterpiece', 'imdb top 250', 'non-linear', 'gangster', 'violence', 'violent', 'gangsters']",4.174231169217055,291,1595,190,1951,628,7389,2913,16724,7867,27762
Quiz Show (1994),Drama,"['oscar (best supporting actor)', 'corruption', 'reality tv', 'television', 'moral ambiguity', 'greed', 'based on a true story', 'true story', 'based on true story', 'excellent script']",3.666690937333139,17,203,42,755,250,6725,1092,8207,494,2816
"Specialist, The (1994)",Action|Drama|Thriller,"['good action', 'action', 'explosions', 'vengeance', 'revenge', 'bad plot', 'fight scenes', 'bad acting', 'assassination', 'assassins']",2.9020512361160873,150,922,247,1641,545,4701,423,1818,108,609
Stargate (1994),Action|Adventure|Sci-Fi,"['egypt', 'sci-fi', 'science fiction', 'sci fi', 'scifi', 'archaeology', 'space', 'alien', 'space opera', 'space travel']",3.3542249756281644,124,1021,210,2761,895,12146,2220,8400,829,3193
"Santa Clause, The (1994)",Comedy|Drama|Fantasy,"['christmas', 'holiday', 'children', 'childhood', 'family', 'kids', 'fantasy', 'heartwarming', 'magic', 'toys']",3.1460792189334486,211,771,255,1718,650,6684,795,3670,133,1296
"Shawshank Redemption, The (1994)",Crime|Drama,"['prison escape', 'imdb top 250', 'powerful ending', 'oscar (best picture)', 'prison', 'great acting', 'masterpiece', 'excellent script', 'redemption', 'great ending']",4.446990499637029,111,207,101,518,377,3845,2400,15238,8673,31896
Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,"['space', 'franchise', 'star trek', 'space opera', 'series', 'sci-fi', 'science fiction', 'first contact', 'sci fi', 'scifi']",3.3296280866535373,206,920,148,2167,629,10881,1263,7073,353,2764
Tommy Boy (1995),Comedy,"['funniest movies', 'comedy', 'road trip', 'goofy', 'hilarious', 'saturday night live', 'quotable', 'funny', 'very funny', 'dumb but funny']",3.3484765553731073,115,565,107,1026,351,3391,830,2744,451,1382
What's Eating Gilbert Grape (1993),Drama,"['small town', 'dysfunctional family', 'disability', 'oscar (best supporting actor)', 'bittersweet', 'great acting', 'family bonds', 'adapted from:book', 'mental illness', 'quirky']",3.75583021083832,51,250,65,678,353,4163,1498,6705,1191,2927
While You Were Sleeping (1995),Comedy|Romance,"['romantic comedy', 'romantic', 'chick flick', 'sweet', 'feel-good', 'love story', 'girlie movie', 'feel good movie', 'good romantic comedies', 'romance']",3.500344619626088,90,455,166,1337,669,8694,1152,7039,337,3275
Muriel's Wedding (1994),Comedy,"['australia', 'friendship', 'unlikely friendships', 'dysfunctional family', 'australian', 'bittersweet', 'quirky', 'melancholic', 'feel-good', 'original']",3.5099657827202737,124,385,117,791,380,3063,965,3791,447,1627
Ace Ventura: Pet Detective (1994),Comedy,"['goofy', 'detective', 'dumb', 'comedy', 'funniest movies', 'hilarious', 'silly fun', 'stupid as hell', 'very funny', 'stupidity']",2.9823418615601947,757,3566,853,4756,1941,12596,3079,7084,912,2682
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,"['cross dressing', 'transgender', 'queer', 'australia', 'gay character', 'gay', 'road trip', 'glbt', 'homophobia', 'homosexuality']",3.6495830100853373,88,327,112,531,268,2288,876,3409,535,1878
Clear and Present Danger (1994),Action|Crime|Drama|Thriller,"['tom clancy', 'conspiracy', 'tense', 'action', 'mentor', 'based on a book', 'good action', 'thriller', 'secret service', 'president']",3.6603090866051198,32,245,63,1026,447,10043,1636,11254,564,4261
"Client, The (1994)",Drama|Mystery|Thriller,"['lawyers', 'lawyer', 'tom clancy', 'tense', 'based on a book', 'adapted from:book', 'courtroom', 'thriller', 'mentor', 'suspense']",3.4674098402071625,24,207,77,808,406,6479,853,5275,217,1487
"Crow, The (1994)",Action|Crime|Fantasy|Thriller,"['dark hero', 'goth', 'adapted from:comic', 'based on a comic', 'dark fantasy', 'vengeance', 'vigilante', 'awesome soundtrack', 'dark', 'revenge']",3.513586298717018,73,569,114,1228,446,4814,1362,4723,730,2465
"Flintstones, The (1994)",Children|Comedy|Fantasy,"['cartoon', 'based on a tv show', 'family', 'children', 'original', 'action', 'series', 'predictable', 'visually appealing', 'franchise']",2.433494315323473,467,1241,513,2107,741,3634,337,678,45,176
Forrest Gump (1994),Comedy|Drama|Romance|War,"['oscar (best picture)', 'life', 'destiny', 'imdb top 250', 'oscar (best directing)', 'oscar', 'us history', 'oscar winner', 'oscar (best actor)', 'great acting']",4.029000181345584,273,1077,294,2167,1054,9600,4376,19536,6503,21292
Four Weddings and a Funeral (1994),Comedy|Romance,"['relationships', 'romantic comedy', 'romantic', 'british', 'british comedy', 'chick flick', 'love', 'wedding', 'romance', 'witty']",3.6511065381421712,114,589,147,1314,657,7461,2018,9878,1136,4385
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,"['disney animated feature', 'animation', 'cartoon', 'lions', 'animated', 'animals', 'children', 'kids', 'kids and family', 'childhood']",3.779090046420969,171,609,216,1492,916,9112,3239,12457,2675,8104
"Mask, The (1994)",Action|Comedy|Crime|Fantasy,"['goofy', 'comedy', 'super hero', 'superhero', 'special effects', 'based on a comic', 'fun movie', 'superheroes', 'silly fun', 'silly']",3.1747178920428105,462,1445,666,3306,2012,12402,3106,7826,667,2492
Maverick (1994),Adventure|Comedy|Western,"['based on a tv show', 'western', 'comedy', 'fun movie', 'series', 'poker', 'con men', 'silly fun', 'humorous', 'great']",3.410737310983472,79,376,185,1106,659,6057,1423,5155,480,1542
Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,"['parody', 'comedy', 'funny as hell', 'spoof', 'hilarious', 'funniest movies', 'sequel', 'police', 'series', 'good sequel']",2.9555080288899798,384,913,469,1679,967,5152,1148,2502,305,742
"River Wild, The (1994)",Action|Thriller,"['good action', 'hostage', 'action', 'scenic', 'family', 'chase', 'runaway', 'tense', 'dysfunctional family', 'thriller']",3.281609704267753,44,284,81,837,362,5274,546,2961,92,813
Speed (1994),Action|Romance|Thriller,"['good action', 'action', 'action packed', 'chase', 'tense', 'fast paced', 'explosions', 'exciting', 'suspense', 'big budget']",3.4932029257494825,250,891,478,2593,1830,12125,3886,13367,927,5215
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,"['arnold', 'action', 'good action', 'chase', 'spying', 'comedy', 'spies', 'espionage', 'terrorism', 'action packed']",3.4911490071595725,209,1001,373,2728,1468,13933,3436,13411,1171,5429
Addams Family Values (1993),Children|Comedy|Fantasy,"['camp', 'good sequel', 'sequels', 'original', 'sequel', 'macabre', 'family', 'dark humor', 'black comedy', 'dysfunctional family']",2.9920775593511655,196,1050,248,2430,790,8725,931,3222,200,826
Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,"['good action', 'action', 'comedy', 'sequel', 'good sequel', 'franchise', 'sequels', 'action packed', 'chase', 'vengeance']",2.7498660774072587,251,1472,332,2682,694,6448,567,1851,91,546
City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,"['treasure hunt', 'good sequel', 'sequels', 'sequel', 'destiny', 'crappy sequel', 'original', 'comedy', 'adventure', 'midlife crisis']",2.735470785552695,262,1057,347,2223,674,5928,433,1523,50,322
Cliffhanger (1993),Action|Adventure|Thriller,"['good action', 'action', 'action packed', 'explosions', '70mm', 'chase', 'mountain climbing', 'lone hero', 'big budget', 'vengeance']",3.0573376102646352,215,1175,424,2966,1117,11409,1205,4907,151,1371
Coneheads (1993),Comedy|Sci-Fi,"['saturday night live', 'alien', 'aliens', 'comedy', 'alien invasion', 'goofy', 'funny', 'sci fi', 'sci-fi', 'first contact']",2.5935590539860542,346,1694,386,2903,758,5485,472,1472,76,319
Dave (1993),Comedy|Romance,"['president', 'secret service', 'world politics', 'politics', 'political', 'conspiracy theory', 'conspiracy', 'comedy', 'feel-good', 'light']",3.603979893247655,21,166,82,711,407,6783,1151,7255,391,2330
Demolition Man (1993),Action|Adventure|Sci-Fi,"['future', 'futuristic', 'good action', 'action', 'sci-fi', 'dystopia', 'action packed', 'silly fun', 'comedy', 'scifi']",3.0436171956082374,266,940,461,2269,1121,6874,1323,3764,278,1011
"Firm, The (1993)",Drama|Thriller,"['lawyers', 'lawyer', 'tom clancy', 'adapted from:book', 'tense', 'mentor', 'conspiracy', 'based on a book', 'chase', 'suspenseful']",3.4953871306785005,44,304,93,1266,571,10127,1753,8553,501,2477
"Fugitive, The (1993)",Thriller,"['oscar (best supporting actor)', 'chase', 'based on a tv show', 'action', 'conspiracy', 'tense', 'suspense', 'oscar winner', 'murder', 'thriller']",3.9856900828946573,48,155,78,741,662,8954,3768,20439,2609,12127
Hot Shots! Part Deux (1993),Action|Comedy|War,"['parody', 'spoof', 'comedy', 'silly', 'dumb but funny', 'hilarious', 'funny', 'sequel', 'silly fun', 'goofy']",2.914503365135715,288,963,341,1909,793,5066,1101,2244,239,577
"Hudsucker Proxy, The (1994)",Comedy,"['coen bros', 'coen brothers', 'whimsical', 'original', 'quirky', 'weird', 'golden palm', 'greed', 'dialogue', 'visual']",3.6641817536386228,29,228,50,666,251,2899,851,3783,703,1808
In the Line of Fire (1993),Action|Thriller,"['secret service', 'assassin', 'tense', 'suspenseful', 'assassination', 'suspense', 'thriller', 'president', 'chase', 'action']",3.7325069016776387,18,79,27,414,310,5488,1266,8260,462,2512
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,"['dinosaurs', 'special effects', 'spielberg', 'big budget', 'dynamic cgi action', 'effects', 'action', 'adventure', 'exciting', 'adapted from:book']",3.6647408523821485,242,897,454,3077,1925,15271,5457,19244,2908,10240
Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,"['arnold', 'action', 'good action', 'parody', 'action packed', 'fantasy', 'fun movie', 'fun', 'spoof', 'original']",2.7787434632098402,276,1148,415,2216,980,5231,878,1927,135,371
Executive Decision (1996),Action|Adventure|Thriller,"['tom clancy', 'good action', 'action', 'tense', 'action packed', 'big budget', 'islam', 'suspenseful', 'conspiracy', 'chase']",3.3614438063986873,73,332,95,896,324,5081,471,3582,73,1263
Much Ado About Nothing (1993),Comedy|Romance,"['shakespeare', 'literature', 'witty', 'based on a play', 'adaptation', 'great acting', 'original', 'great movie', 'feel good movie', 'fun movie']",3.894188827916139,50,176,64,457,231,2908,856,5179,675,3618
Mrs. Doubtfire (1993),Comedy|Drama,"['children', 'comedy', 'divorce', 'family', 'cross dressing', 'spelling bee', 'family bonds', 'single father', 'funny', 'drama']",3.386267155152361,312,829,549,2354,1818,11095,3395,9513,911,3616
Philadelphia (1993),Drama,"['aids', 'gay', 'homosexuality', 'homophobia', 'lawyers', 'oscar (best supporting actor)', 'gay character', 'oscar (best actor)', 'great acting', 'dramatic']",3.814998204115142,60,211,96,610,409,4376,1566,7089,1204,3868
"Piano, The (1993)",Drama|Romance,"['oscar (best actress)', 'passionate', 'amazing cinematography', 'male nudity', 'intimate', 'relationships', 'erotic', 'artsy', 'beautifully filmed', 'cinematography']",3.689946097961097,103,631,99,999,321,4085,859,5375,786,3810
"Remains of the Day, The (1993)",Drama|Romance,"['period piece', 'melancholic', 'literary adaptation', 'costume drama', 'beautifully filmed', 'great acting', 'adapted from:book', 'reflective', 'excellent', 'love story']",3.9050276709501923,18,144,37,358,99,2318,410,4101,427,2749
Robin Hood: Men in Tights (1993),Comedy,"['spoof', 'parody', 'comedy', 'hilarious', 'funniest movies', 'dumb but funny', 'silly fun', 'goofy', 'funny as hell', 'funny']",3.040168986771937,207,933,352,1911,899,4609,1528,2655,514,831
